State,State_Short,Year,Total,Number,Percent
Mississippi,MS,1986,2610,695,26.6
Missouri,MO,1986,4998,722,14.4
Montana,MT,1986,823,136,16.5
Nebraska,NE,1986,1617,220,13.6
Nevada,NV,1986,1010,82,8.1
New Hampshire,NH,1986,1002,37,3.7
New Jersey,NJ,1986,7624,679,8.9
New Mexico,NM,1986,1434,306,21.3
New York,NY,1986,17585,2322,13.2
North Carolina,NC,1986,6178,884,14.3
North Dakota,ND,1986,651,88,13.5
Ohio,OH,1986,10703,1372,12.8
Oklahoma,OK,1986,3184,469,14.7
Oregon,OR,1986,2702,332,12.3
Pennsylvania,PA,1986,11782,1190,10.1
Rhode Island,RI,1986,953,87,9.1
South Carolina,SC,1986,3288,569,17.3
South Dakota,SD,1986,697,118,17
Tennessee,TN,1986,4650,853,18.3
Texas,TX,1986,16371,2825,17.3
Utah,UT,1986,1659,209,12.6
Vermont,VT,1986,529,58,11
Virginia,VA,1986,5624,547,9.7
Washington,WA,1986,4369,563,12.9
West Virginia,WV,1986,1927,432,22.4
Wisconsin,WI,1986,4697,501,10.7
Wyoming,WY,1986,496,73,14.6
Alabama,AL,1985,3981,821,20.6
Alaska,AK,1985,510,45,8.7
Arizona,AZ,1985,3227,345,10.7
Arkansas,AR,1985,2364,541,22.9
California,CA,1985,26456,3596,13.6
Colorado,CO,1985,3176,324,10.2
Connecticut,CT,1985,3111,237,7.6
Delaware,DE,1985,624,71,11.4
D.C.,DC,1985,603,123,20.4
Florida,FL,1985,11537,1551,13.4
Georgia,GA,1985,5867,1037,17.7
Hawaii,HI,1985,1018,109,10.7
Idaho,ID,1985,996,159,16
Illinois,IL,1985,11743,1830,15.6
Indiana,IN,1985,5302,639,12
Iowa,IA,1985,2815,505,17.9
Kansas,KS,1985,2395,331,13.8
Kentucky,KY,1985,3650,708,19.4
Louisiana,LA,1985,4322,781,18.1
Maine,ME,1985,1129,134,11.9
Maryland,MD,1985,4209,364,8.7
Massachusetts,MA,1985,5899,544,9.2
Michigan,MI,1985,9051,1308,14.5
Minnesota,MN,1985,4146,523,12.6
Mississippi,MS,1985,2564,644,25.1
Missouri,MO,1985,5011,689,13.7
Montana,MT,1985,835,134,16
Nebraska,NE,1985,1589,235,14.8
Nevada,NV,1985,968,139,14.4
New Hampshire,NH,1985,988,59,6
New Jersey,NJ,1985,7608,631,8.3
New Mexico,NM,1985,1447,267,18.5
New York,NY,1985,17668,2796,15.8
North Carolina,NC,1985,6073,863,14.2
North Dakota,ND,1985,681,108,15.9
Ohio,OH,1985,10629,1359,12.8
Oklahoma,OK,1985,3280,526,16
Oregon,OR,1985,2671,317,11.9
Pennsylvania,PA,1985,11554,1217,10.5
Rhode Island,RI,1985,933,84,9
South Carolina,SC,1985,3219,489,15.2
South Dakota,SD,1985,689,119,17.3
Tennessee,TN,1985,4619,837,18.1
Texas,TX,1985,16231,2582,15.9
Utah,UT,1985,1652,180,10.9
Vermont,VT,1985,524,48,9.2
Virginia,VA,1985,5567,558,10
Washington,WA,1985,4371,526,12
West Virginia,WV,1985,1894,423,22.3
Wisconsin,WI,1985,4693,544,11.6
Wyoming,WY,1985,506,61,12
Alabama,AL,1984,3875,738,19.1
Alaska,AK,1984,507,49,9.6
Arizona,AZ,1984,3133,569,18.2
Arkansas,AR,1984,2364,564,23.9
California,CA,1984,25596,3375,13.2
Colorado,CO,1984,3067,274,8.9
Connecticut,CT,1984,3152,218,6.9
Delaware,DE,1984,611,63,10.3
D.C.,DC,1984,607,128,21.1
Florida,FL,1984,11194,1693,15.1
Georgia,GA,1984,5822,981,16.9
Hawaii,HI,1984,997,92,9.3
Idaho,ID,1984,992,171,17.3
